Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
NUR270L##,Childbearing Nursing Lab,71,8/23/2025 to 10/25/2025,0,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"10/9/2025
Requires Associated Class NUR270-90	
Restricted to NL/NLD major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 6,Click for Details
ENL201,Technical & Professional Communication,21,8/19/2025 to 12/4/2025,3,TR 12:30PM - 1:45PM,"Wheeler,Shanna",,On Campus,NA,W/D 11/14/2025,1 of 24,Click for Details
MTH172,Introduction to Geometry,1,8/18/2025 to 12/3/2025,3,MW 9:00AM - 10:45AM,"Jacobs,Lisa",,On Campus,NA,W/D 11/14/2025,0 of 18,Click for Details
DEN214,Dental Materials & Specialties,1,8/19/2025 to 12/2/2025,3,T 10:00AM - 11:45AM,"Minnick,Tiana",,On Campus,Fall Only,11/14/2025,3 of 37,Click for Details
EET155,Microprocessor Applications I,1,8/19/2025 to 12/4/2025,1,TR 11:00AM - 12:15PM,"Rice,Mark",,On Campus,NA,11/14/2025,2 of 12,Click for Details
ACH243,Structural Principles,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 9:15AM,"Gerring,Dorothy",,On Campus,Fall Only,11/14/2025,2 of 18,Click for Details
PAS530,Pharmacology I,1,8/18/2025 to 12/4/2025,3,MR 8:00AM - 9:15AM,"Mix,Cheressa",,On Campus,Fall Only,11/14/2025,5 of 30,Click for Details
NUR287,Essentials of Pharmacology,90,8/18/2025 to 12/12/2025,2,No scheduled meetings,"Folmar,Sadie",,Distance Learning,NA,"11/14/2025
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance 
Times to be arranged",30 of 30,Click for Details
AMT127,Engine Electrical Systems,1,10/13/2025 to 11/7/2025,3,MTWR 8:00AM - 9:45AM...,"Januchowski,Jeffrey",,On Campus,NA,11/3/2025,0 of 17,Click for Details
MTH005,Elementary Algebra I,4,8/18/2025 to 12/4/2025,3,MW 11:00AM - 11:50AM...,"Lambert,Lisa",,On Campus,NA,W/D 11/14/2025,5 of 22,Click for Details
CCM140,"Woodworking - Art, Craft & Design",2,8/19/2025 to 12/4/2025,3,TR 8:00AM - 8:50AM...,"Kruppenbacher,Peter",,On Campus,NA,11/14/2025,0 of 18,Click for Details
WEL209,Advanced Semi-Automatic Processes,2,10/13/2025 to 12/11/2025,4,MW 7:00AM - 7:50AM...,"Good,Ryan",,On Campus,Fall Only,withdraw date 12/2/2025,0 of 15,Click for Details
DSG421,Product Design & Engineering Analysis,21,8/19/2025 to 12/4/2025,3,TR 1:00PM - 3:15PM,"Marconnet,Alex",,On Campus,Fall Only,11/14/2025,3 of 10,Click for Details
FYE101,First Year Experience,37 DD/HE,8/19/2025 to 12/2/2025,1,T 12:00PM - 1:45PM,"Bell,Jeremy",,On Campus,NA,11/14/2025,0 of 24,Click for Details
CIT371,Network Administration II: Real-time Services,21,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Heimbach,Allen",,On Campus,Fall Only,11/14/2025,3 of 22,Click for Details
WEL410,Industrial Weld Design,21,8/18/2025 to 12/3/2025,3,MW 9:30AM - 11:45AM,"Bell,Matthew",,On Campus,Fall Only,withdraw date 11/14/25,0 of 15,Click for Details
BCM103,Construction & Program Orientation,1,8/18/2025 to 10/10/2025,3,MW 8:00AM - 9:45AM...,"Sheppard,Wayne",,On Campus,NA,9/30/2025,0 of 20,Click for Details
BIO115,Human Anatomy & Physiology I,2,8/19/2025 to 12/4/2025,4,TR 8:00AM - 9:45AM...,"Ingram,Justin",,On Campus,NA,W/D 11/14/2025,2 of 24,Click for Details
WEL100,Introduction to Welding Processes,41,8/19/2025 to 12/2/2025,3,T 5:00PM - 5:50PM...,"Campbell,Richard",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
DEN299F,Clinical Maintenance,1,8/18/2025 to 12/4/2025,4,R 8:00AM - 11:45AM...,"Hicks,Amanda",,On Campus,NA,11/14/2025,1 of 1,Click for Details
HEO131L##,Earthwork Site Preparation Lab,1,8/19/2025 to 12/2/2025,0,T 12:00PM - 2:45PM,"Keister,Andrew",,On Campus,NA,WD 11/14/2025,0 of 12,Click for Details
ENL121,English Composition II,22,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Martin,Jeremy",,On Campus,NA,W/D 11/14/2025,2 of 20,Click for Details
FYE101,First Year Experience,35 ET,8/22/2025 to 12/5/2025,1,F 12:00PM - 1:45PM,"Crawford,Laura",,On Campus,NA,11/14/2025,9 of 24,Click for Details
QAL103,Governing Technical Documents for NDT,21,8/22/2025 to 12/5/2025,2,F 1:00PM - 2:45PM,"Nau,Michael",,On Campus,NA,withdrawal date 11/14/25,2 of 12,Click for Details
BCT477,Residential Construction Industry Internship,98,8/20/2025 to 12/3/2025,1,W 11:00AM - 11:50AM,"Kahn,Bernard",,Off Campus,NA,11/14/2025,5 of 5,Click for Details
AVI125,Aviation Basic Electricity I,2,10/13/2025 to 11/10/2025,2,MTWRF 8:00AM - 10:00AM...,"Keyser,Korey",,On Campus,Fall Only,11/3/2025,11 of 20,Click for Details
AMT236,Engine Performance,4,8/18/2025 to 9/12/2025,4,MTWR 8:00AM - 11:15AM...,"Probst,Charles",,On Campus,NA,9/8/2025,11 of 16,Click for Details
BEM101,Introduction to Emergency Management Operations,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Schlosser,William",,On Campus,Fall Only,W/D 11/14/2025,0 of 16,Click for Details
MTR104,Basics of Medical Terminology,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Miller,Emily",,Distance Learning,NA,"W/D 11/14/25  
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",0 of 30,Click for Details
NUR186L##,Foundations of Nursing Lab,1,8/18/2025 to 11/24/2025,0,M 6:30AM - 12:15PM,"Account,Test",,Off Campus,NA,"11/3/2025
Requires Associated Class NUR 186		
Lab restricted to lecture section NUR 186-01		
Lab/Sim Days on Grid are 8 am to 1:45 pm
Health/nursing requirements needed
Additional times to be arranged
Times may vary by site
Transportation needed",8 of 10,Click for Details
QAL241,Non-Destructive Testing I,1,8/19/2025 to 12/4/2025,3,TR 7:00AM - 9:15AM,"Nau,Michael",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
BCT307,Managing Construction Safety,2,8/18/2025 to 12/3/2025,3,MW 1:30PM - 2:45PM,"Kruppenbacher,Peter",,On Campus,NA,11/14/2025,0 of 18,Click for Details
ACC311,Cost Accounting,1,8/19/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM,"Nolan,Robert",,On Campus,Fall Only,W/D 11/14/2025,7 of 15,Click for Details
FOR111,Dendrology,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 8:50AM...,"Bartron,Dustin",,On Campus,Fall Only,W/D 11/14/25,0 of 17,Click for Details
BCM233,Mechanical & Electrical Systems for Construction Managers,2,8/19/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM,"Account,Test",,On Campus,NA,11/14/2025,-2 of 20,Click for Details
