Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
MTH004,Pre-Algebra,02,8/18/2025 to 12/5/2025,3.00,MW 9:00AM - 9:50AM...,"Yoder,Kimberly; Myers, Shelley",,On Campus,NA,W/D 11/14/2025,2 of 24,Click for Details
MTH123,Technical Algebra & Trigonometry I,98,8/18/2025 to 12/1/2025,3.00,M 3:30PM - 4:20PM,"Henry,LeAnn",,Hybrid,NA,"W/D 11/14/2025
50% in-person/50% distance",11 of 22,Click for Details
WEL216,Advanced Shielded Metal Arc Welding,03,10/13/2025 to 12/11/2025,4.00,MW 7:00AM - 10:45AM...,"Turnbach,Timothy",,On Campus,Fall Only,withdraw date 12/2/2025,0 of 15,Click for Details
WEL133,Flux Cored Arc Welding,24,10/13/2025 to 12/11/2025,4.00,TR 12:00PM - 3:45PM...,"Joy,Anthony",,On Campus,Fall Only,withdraw date 12/2/2025,1 of 15,Click for Details
MKT310,International Marketing,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Moff,Steven",,Distance Learning,Fall Only,W/D 11/14/2025,14 of 20,Click for Details
FOR236,Silviculture,21,8/18/2025 to 12/3/2025,3.00,MW 2:00PM - 2:50PM...,"Bartron,Dustin",,On Campus,Fall Only,WD 11/14/25,9 of 34,Click for Details
PPT118,Polymer Processing Survey - Lecture,21,8/18/2025 to 12/3/2025,3.00,MWF 12:00PM - 12:50PM,"Perez,Jose",,On Campus,Fall Only,withdrawal date 11/14/2025,20 of 24,Click for Details
EET145L##,Networking I Lab,02,8/19/2025 to 12/4/2025,0.00,TR 11:00AM - 12:15PM,"Crossen,John",,On Campus,NA,11/14/2025,17 of 22,Click for Details
ENL201,Technical & Professional Communication,21,8/19/2025 to 12/4/2025,3.00,TR 12:30PM - 1:45PM,"Wheeler,Shanna",,On Campus,NA,W/D 11/14/2025,2 of 24,Click for Details
AMT100,Introduction to Automotive Technology,04,8/18/2025 to 9/12/2025,3.00,MTWR 8:00AM - 9:45AM...,"Trapani,Christopher",,On Campus,NA,9/08/2025,0 of 17,Click for Details
HRM346,Organizational Training and Development,98,8/20/2025 to 12/3/2025,3.00,W 8:00AM - 9:15AM,"Rider,Heather",,Hybrid,NA,"11/14/2025
50% distance, 50% in-person",16 of 25,Click for Details
BEM350,Bioterrorism,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Bjorkman,David",,Distance Learning,Fall Only,W/D 11/14/2025,8 of 10,Click for Details
NUR270L##,Childbearing Nursing Lab,71,8/23/2025 to 10/25/2025,0.00,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"10/9/2025
Requires Associated Class NUR270-90	
Restricted to NL/NLD major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 6,Click for Details
ELT100,Topics of Construction Safety,01,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 9:15AM,"Anstadt,Eric",,On Campus,NA,11/14/2025,1 of 24,Click for Details
MTH172,Introduction to Geometry,01,8/18/2025 to 12/3/2025,3.00,MW 9:00AM - 10:45AM,"Jacobs,Lisa",,On Campus,NA,W/D 11/14/2025,0 of 18,Click for Details
ELT114,Residential Electrical Theory,02,8/18/2025 to 12/3/2025,3.00,MW 11:30AM - 12:45PM,"Anstadt,Eric",,On Campus,NA,11/14/2025,10 of 16,Click for Details
DEN214,Dental Materials & Specialties,01,8/19/2025 to 12/2/2025,3.00,T 10:00AM - 11:45AM,"Minnick,Tiana",,On Campus,Fall Only,11/14/2025,3 of 37,Click for Details
EET155,Microprocessor Applications I,01,8/19/2025 to 12/4/2025,1.00,TR 11:00AM - 12:15PM,"Rice,Mark",,On Campus,NA,11/14/2025,2 of 12,Click for Details
PAS530,Pharmacology I,01,8/18/2025 to 12/4/2025,3.00,MR 8:00AM - 9:15AM,"Mix,Cheressa",,On Campus,Fall Only,11/14/2025,5 of 30,Click for Details
NUR287,Essentials of Pharmacology,90,8/18/2025 to 12/12/2025,2.00,No scheduled meetings,"Folmar,Sadie",,Distance Learning,NA,"11/14/2025
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance 
Times to be arranged",30 of 30,Click for Details
DSM159,Electrical Power Generation Safety,01,8/20/2025 to 12/3/2025,2.00,W 12:00PM - 1:45PM,"Smith,Drew",,On Campus,Fall Only,WD 11/14/2025,4 of 24,Click for Details
AMT127,Engine Electrical Systems,01,10/13/2025 to 11/7/2025,3.00,MTWR 8:00AM - 9:45AM...,"Januchowski,Jeffrey",,On Campus,NA,11/03/2025,0 of 17,Click for Details
CCM140,"Woodworking - Art, Craft & Design",02,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 8:50AM...,"Kruppenbacher,Peter",,On Campus,NA,11/14/2025,0 of 18,Click for Details
WEL209,Advanced Semi-Automatic Processes,02,10/13/2025 to 12/11/2025,4.00,MW 7:00AM - 7:50AM...,"Good,Ryan",,On Campus,Fall Only,withdraw date 12/2/2025,0 of 15,Click for Details
ELT111,Direct Current Fundamentals,04,8/18/2025 to 12/4/2025,5.00,MW 8:00AM - 8:50AM...,"Yokitis,Kevin",,On Campus,NA,11/14/2025,3 of 15,Click for Details
DSG421,Product Design & Engineering Analysis,21,8/19/2025 to 12/4/2025,3.00,TR 1:00PM - 3:15PM,"Marconnet,Alex",,On Campus,Fall Only,11/14/2025,3 of 10,Click for Details
MTH005,Elementary Algebra I,24,8/18/2025 to 12/4/2025,3.00,MW 2:00PM - 2:50PM...,"Lingafelt,Felicia",,On Campus,NA,w/d 11/14/2025,0 of 22,Click for Details
CIT371,Network Administration II: Real-time Services,21,8/19/2025 to 12/4/2025,3.00,TR 2:00PM - 3:15PM,"Heimbach,Allen",,On Campus,Fall Only,11/14/2025,3 of 22,Click for Details
WEL410,Industrial Weld Design,21,8/18/2025 to 12/3/2025,3.00,MW 9:30AM - 11:45AM,"Bell,Matthew",,On Campus,Fall Only,withdraw date 11/14/25,0 of 15,Click for Details
BCM103,Construction & Program Orientation,01,8/18/2025 to 10/10/2025,3.00,MW 8:00AM - 9:45AM...,"Sheppard,Wayne",,On Campus,NA,9/30/2025,0 of 20,Click for Details
WEL100,Introduction to Welding Processes,41,8/19/2025 to 12/2/2025,3.00,T 5:00PM - 5:50PM...,"Campbell,Richard",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
DEN299F,Clinical Maintenance,01,8/18/2025 to 12/4/2025,4.00,R 8:00AM - 11:45AM...,"Hicks,Amanda",,On Campus,NA,11/14/2025,1 of 1,Click for Details
HEO131L##,Earthwork Site Preparation Lab,01,8/19/2025 to 12/2/2025,0.00,T 12:00PM - 2:45PM,"Keister,Andrew",,On Campus,NA,WD 11/14/2025,0 of 12,Click for Details
ENL121,English Composition II,22,8/19/2025 to 12/4/2025,3.00,TR 2:00PM - 3:15PM,"Martin,Jeremy",,On Campus,NA,W/D 11/14/2025,2 of 20,Click for Details
FYE101,First Year Experience,35 ET,8/22/2025 to 12/5/2025,1.00,F 12:00PM - 1:45PM,"Crawford,Laura",,On Campus,NA,11/14/2025,9 of 24,Click for Details
QAL103,Governing Technical Documents for NDT,21,8/22/2025 to 12/5/2025,2.00,F 1:00PM - 2:45PM,"Nau,Michael",,On Campus,NA,withdrawal date 11/14/25,2 of 12,Click for Details
DEN307,Dental Practice Management,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Account,Test",,Distance Learning,NA,"11/14/2025
May require identity verification fees.
100% virtual.",7 of 22,Click for Details
BCT477,Residential Construction Industry Internship,98,8/20/2025 to 12/3/2025,1.00,W 11:00AM - 11:50AM,"Kahn,Bernard",,Off Campus,NA,11/14/2025,5 of 5,Click for Details
WEL133,Flux Cored Arc Welding,03,10/13/2025 to 12/11/2025,4.00,TR 7:00AM - 7:50AM...,"Wolfe,Cody",,On Campus,Fall Only,withdraw date 12/2/25,1 of 15,Click for Details
MTH123,Technical Algebra & Trigonometry I,24,8/18/2025 to 12/3/2025,3.00,MW 3:00PM - 4:45PM,"Lingafelt,Felicia",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
AMT236,Engine Performance,04,8/18/2025 to 9/12/2025,4.00,MTWR 8:00AM - 11:15AM...,"Probst,Charles",,On Campus,NA,9/08/2025,11 of 16,Click for Details
MTR104,Basics of Medical Terminology,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Miller,Emily",,Distance Learning,NA,"W/D 11/14/25  
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",0 of 30,Click for Details
NUR186L##,Foundations of Nursing Lab,01,8/18/2025 to 11/24/2025,0.00,M 6:30AM - 12:15PM,"Account,Test",,Off Campus,NA,"11/3/2025
Requires Associated Class NUR 186		
Lab restricted to lecture section NUR 186-01		
Lab/Sim Days on Grid are 8 am to 1:45 pm
Health/nursing requirements needed
Additional times to be arranged
Times may vary by site
Transportation needed",8 of 10,Click for Details
QAL241,Non-Destructive Testing I,01,8/19/2025 to 12/4/2025,3.00,TR 7:00AM - 9:15AM,"Nau,Michael",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
BCT307,Managing Construction Safety,02,8/18/2025 to 12/3/2025,3.00,MW 1:30PM - 2:45PM,"Kruppenbacher,Peter",,On Campus,NA,11/14/2025,0 of 18,Click for Details
ACC311,Cost Accounting,01,8/19/2025 to 12/4/2025,3.00,TR 9:30AM - 10:45AM,"Nolan,Robert",,On Campus,Fall Only,W/D 11/14/2025,7 of 15,Click for Details
FOR111,Dendrology,01,8/18/2025 to 12/3/2025,3.00,MW 8:00AM - 8:50AM...,"Bartron,Dustin",,On Campus,Fall Only,W/D 11/14/25,0 of 17,Click for Details
PTA226L##,Physical Agents Lab,02,8/19/2025 to 10/9/2025,0.00,TR 10:30AM - 11:45AM...,"Wrench,Barry",,On Campus,NA,9/30/2025,3 of 6,Click for Details
BCM233,Mechanical & Electrical Systems for Construction Managers,02,8/19/2025 to 12/4/2025,3.00,TR 9:30AM - 10:45AM,"Account,Test",,On Campus,NA,11/14/2025,-2 of 20,Click for Details
BHV311,Fundamentals of Engineered Systems Design,01,8/19/2025 to 12/4/2025,3.00,TR 1:00PM - 3:15PM,"Kishbaugh,Bradley",,On Campus,Fall Only,11/14/2025,-1 of 18,Click for Details
BEM399,Holistic Emergency Management in Institutional Settings,21,8/19/2025 to 12/4/2025,3.00,TR 12:30PM - 1:45PM,"Schlosser,William",,On Campus,NA,W/D 11/14/2025,11 of 20,Click for Details
QAL241,Non-Destructive Testing I,02,8/18/2025 to 12/3/2025,3.00,MW 9:30AM - 11:45AM,"Frontz,Tyler",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
ABC181,Auto Graphics,21,8/18/2025 to 12/3/2025,3.00,M 3:00PM - 4:45PM...,"Hack,Shaun",,On Campus,NA,"11/14/2025
Requires up to $100 in additional supplies",0 of 18,Click for Details
PTA226L##,Physical Agents Lab,01,8/19/2025 to 10/9/2025,0.00,TR 10:30AM - 11:45AM...,"Breon,Autumn",,On Campus,NA,09/30/2025,0 of 5,Click for Details
ART107,Visual Literacy for Designers,02,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 10:15AM,"Moyer,David",,On Campus,Fall Only,W/D 11/14/2025,3 of 13,Click for Details
DSM116,Diesel Engine Laboratory,02,8/18/2025 to 12/5/2025,4.00,F 10:00AM - 2:45PM...,"Fry,Jeremy",,On Campus,NA,WD 11/14/2025,1 of 20,Click for Details
PSY204,Psychological Disorders & Treatments,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Slamka,Susan Koons",,Distance Learning,NA,W/D 11/14/2025,7 of 25,Click for Details
NUR232L##,Fundamentals of Nursing Lab,02,8/22/2025 to 12/5/2025,0.00,F 6:30AM - 12:15PM...,"Account,Test",,Off Campus,NA,"11/14/25
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 8,Click for Details
CET242,Fluid Mechanics,01,8/18/2025 to 12/4/2025,3.00,R 8:00AM - 10:45AM...,"Account,Test",,On Campus,NA,withdrawal date 11/14/25,10 of 20,Click for Details
WEL209,Advanced Semi-Automatic Processes,41,10/13/2025 to 12/11/2025,4.00,TR 5:00PM - 5:50PM...,"Frontz,Tyler",,On Campus,Fall Only,withdraw date 12/2/2025,2 of 15,Click for Details
WEL400,Fabrication of Alloys,21,8/18/2025 to 12/3/2025,3.00,MW 1:00PM - 3:15PM,"Tanner,James",,On Campus,Fall Only,withdraw date 11/14/25,0 of 15,Click for Details
NUR188L##,Adult Medical-Surgical Nursing I Lab,01,8/19/2025 to 12/2/2025,0.00,T 6:00AM - 2:45PM,"Account,Test",,Off Campus,NA,"11/14/25
Requires associated class of NUR188-21
Health/nursing requirements needed
see clinical grid for details
Transportation needed
Times may vary by site
Additional times to be arranged",4 of 11,Click for Details
AMT113,Steering & Suspension,04,11/10/2025 to 12/12/2025,3.00,MTWR 8:00AM - 9:45AM...,"Faryniak,John",,On Campus,NA,12/01/2025,0 of 17,Click for Details
DSG421,Product Design & Engineering Analysis,22,8/18/2025 to 12/3/2025,3.00,MW 12:00PM - 2:15PM,"Marconnet,Alex",,On Campus,Fall Only,11/14/2025,3 of 10,Click for Details
HIS126,World History II,90,8/18/2025 to 12/12/2025,3.00,No scheduled meetings,"Chappo,John",,Distance Learning,NA,W/D 11/14/2025,0 of 25,Click for Details
MTH005,Elementary Algebra I,21,8/18/2025 to 12/4/2025,3.00,MW 12:00PM - 12:50PM...,"Schwanger,Tiffany",,On Campus,NA,W/D 11/14/2025,10 of 22,Click for Details
NUR232,Fundamentals of Nursing,01,8/19/2025 to 12/4/2025,6.00,TR 9:00AM - 11:45AM,"Account,Test",,On Campus,NA,"11/14/25
Restricted to BGN Major 
Requires Associated Class NUR 232L
Webcam required for exam proctoring
May require identity verification fees",0 of 30,Click for Details
PPT371,Polymer Synthesis Lab,01,8/19/2025 to 12/2/2025,1.00,T 8:00AM - 10:45AM,"Rice,Vii",,On Campus,Fall Only,withdrawal date 11/14/25,5 of 14,Click for Details
NUR340L##,Pediatric Nursing Lab,01,8/20/2025 to 11/5/2025,0.00,W 6:30AM - 2:15PM,"Account,Test",,Off Campus,NA,"10/15/2025
Requires Associated Class NUR340-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 10,Click for Details
BCT300,Residential Management I,01,8/18/2025 to 12/3/2025,3.00,MW 9:30AM - 10:45AM,"Jennings,Darin",,On Campus,NA,11/14/2025,6 of 18,Click for Details
ACH111,Architectural Graphics,23,8/19/2025 to 12/4/2025,3.00,TR 12:00PM - 3:15PM,"Brooks,Daniel",,On Campus,Fall Only,11/14/2025,-1 of 15,Click for Details
RAD212,Radiographic Equipment & Maintenance,01,8/18/2025 to 12/3/2025,3.00,MW 8:30AM - 9:45AM,"Cao,Qiang",,On Campus,Fall Only,11/14/2025,2 of 29,Click for Details
BIO111L##,Basic Botany Lab,02,8/20/2025 to 12/3/2025,0.00,W 8:00AM - 10:45AM,"Dincher,Michael",,On Campus,NA,"W/D 11/14/25
Need BIO111 and BIO111L together",14 of 15,Click for Details
EET311,Computer Solutions of Engineering Problems,01,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 10:15AM,"Sarge,Clark",,On Campus,Fall Only,11/14/2025,3 of 18,Click for Details
ENL111,English Composition I,21,8/18/2025 to 12/3/2025,3.00,MW 2:00PM - 3:15PM,"Wheeler,Shanna",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
QAL301,NDT Quality Assurance,25,8/18/2025 to 12/3/2025,3.00,MW 5:00PM - 7:15PM,"Hurd,Mark",,On Campus,NA,withdrawal date 11/14/25,0 of 15,Click for Details
BHV399,HVAC System Principles,01,8/19/2025 to 12/4/2025,3.00,TR 10:00AM - 11:15AM,"Killinger,Jason",,On Campus,NA,11/14/2025,0 of 19,Click for Details
AVI170,Aircraft Engine Troubleshooting & Inspection,01,8/18/2025 to 9/12/2025,4.00,MTWRF 8:00AM - 9:15AM...,"Damiani,D Michael",,On Campus,Fall Only,9/08/2025,7 of 18,Click for Details
ELT249,Programmable Logic Control Input/Output Devices,01,8/18/2025 to 12/3/2025,4.00,MW 8:00AM - 9:15AM...,"Hart,Jon",,On Campus,NA,11/14/2025,4 of 10,Click for Details
AVI210,Composite Aircraft Structures,01,11/11/2025 to 11/21/2025,2.00,MTWRF 8:00AM - 9:15AM...,"Robison,Michael",,On Campus,Fall Only,11/20/2025,6 of 18,Click for Details
NUR428L##,Community Health Nursing,01,8/20/2025 to 12/3/2025,0.00,W 8:00AM - 1:45PM,"Stone,Teresa",,Off Campus,NA,"11/14/25
Requires Associated Class NUR428-98	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 13,Click for Details
RAD109L##,Radiographic Anatomy & Positioning I Lab,21,8/20/2025 to 12/3/2025,0.00,W 1:00PM - 2:15PM,"Johnson,Kristina",,On Campus,NA,11/14/2025,7 of 7,Click for Details
BCT103,Construction Hand & Power Tools,02,8/21/2025 to 12/4/2025,1.00,R 12:30PM - 1:20PM...,"Francis,Matthew",,On Campus,NA,11/14/2025,1 of 18,Click for Details
BCM280,Construction Estimating,02,8/19/2025 to 12/4/2025,3.00,TR 1:00PM - 3:15PM,"Group,Brandon",,On Campus,NA,11/14/2025,-3 of 20,Click for Details
MGT115,Principles of Management,02,8/18/2025 to 12/3/2025,3.00,MW 11:00AM - 12:15PM,"Bukeavich,Summer",,On Campus,NA,W/D 11/14/2025,1 of 25,Click for Details
MTH123,Technical Algebra & Trigonometry I,23,8/19/2025 to 12/4/2025,3.00,TR 1:30PM - 3:15PM,"Rhodes,Lauren",,On Campus,NA,W/D 11/14/2025,0 of 22,Click for Details
MTH005,Elementary Algebra I,45,8/18/2025 to 12/4/2025,3.00,WR 5:00PM - 6:15PM...,"Account,Test",,On Campus,NA,W/D 11/14/2025,0 of 21,Click for Details
CIT324,Game & Simulation Design Principles II,01,8/19/2025 to 12/4/2025,3.00,TR 12:30PM - 1:45PM,"McNett,Alicia",,On Campus,Fall Only,11/14/2025,11 of 22,Click for Details
SPC101,Fundamentals of Speech,02,8/19/2025 to 12/4/2025,3.00,TR 8:00AM - 9:15AM,"Disalvo,Karen",,On Campus,NA,W/D 11/14/2025,0 of 20,Click for Details
MTH183,College Algebra & Trigonometry II,21,8/18/2025 to 12/3/2025,3.00,MW 12:00PM - 1:45PM,"James,Bryan",,On Campus,NA,11/14/2025,2 of 25,Click for Details
NUR272L##,Psychosocial Nursing Lab,76,10/4/2025 to 11/22/2025,0.00,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"11/7/2025
Requires Associated Class NUR272-91	
Restricted to RN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",6 of 16,Click for Details
HTH110,Introduction to Health Record Documentation & Coding,01,8/19/2025 to 12/4/2025,3.00,TR 9:30AM - 10:45AM,"Christopher,Daniel",,On Campus,NA,W/D date 11/14/25,20 of 24,Click for Details
MTH181,College Algebra & Trigonometry I,23,8/18/2025 to 12/3/2025,3.00,MW 1:00PM - 2:45PM,"Trick,Nathan",,On Campus,NA,W/D 11/14/2025,13 of 25,Click for Details
NUR188L##,Adult Medical-Surgical Nursing I Lab,02,8/19/2025 to 12/2/2025,0.00,T 6:00AM - 2:45PM,"Account,Test",,Off Campus,NA,"11/14/25
Requires associated class of NUR188-21
Health/nursing requirements needed
see clinical grid for details
Transportation needed
Times may vary by site
Additional times to be arranged",2 of 10,Click for Details
RAD109,Radiographic Anatomy & Positioning I,01,8/19/2025 to 12/4/2025,3.50,TR 11:00AM - 12:15PM,"Smith,Allen",,On Campus,Fall Only,11/14/2025,3 of 30,Click for Details
AMT267,Electric & Hybrid Vehicle Technology,01,11/10/2025 to 12/11/2025,3.00,MTWR 8:00AM - 10:45AM...,"Probst,Charles",,On Campus,NA,12/01/2025,4 of 16,Click for Details
PHS103,Physics Survey,41,10/14/2025 to 12/11/2025,3.00,TR 4:00PM - 6:45PM,"Herr,Ronald",,On Campus,NA,W/D 12/02/2025,-1 of 23,Click for Details
PAS641,Internal Medicine Clinical Experience,02,9/22/2025 to 10/31/2025,4.00,No scheduled meetings,"Sedor,Melissa",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
BIO115,Human Anatomy & Physiology I,98,8/18/2025 to 12/1/2025,4.00,M 5:30PM - 9:15PM,"Hensler Jansen,Laura",,Hybrid,NA,"W/D 11/14/25
50% in-person, 50% distance",5 of 24,Click for Details
BCT135,Weather Resistant Barriers & Finishes,04,8/22/2025 to 12/5/2025,2.00,F 8:00AM - 8:25AM...,"Account,Test",,On Campus,NA,11/14/2025,2 of 18,Click for Details
SPC101,Fundamentals of Speech,21,8/19/2025 to 12/4/2025,3.00,TR 12:30PM - 1:45PM,"Disalvo,Karen",,On Campus,NA,W/D 11/14/2025,0 of 20,Click for Details
BCM230,Construction Surveying,01,8/19/2025 to 12/4/2025,3.00,TR 12:00PM - 3:15PM,"Krick,Jason",,On Campus,NA,11/14/2025,0 of 14,Click for Details
FHD215,Advanced Breads,01,10/14/2025 to 11/18/2025,1.00,T 7:00AM - 2:45PM,"Niedermyer,Charles",,On Campus,NA,W/D 11/11/25,2 of 16,Click for Details
ELT115,Residential Electrical Lab,21,8/18/2025 to 12/3/2025,2.00,MW 1:30PM - 4:15PM,"Leisey,Lacy",,On Campus,NA,11/14/2025,6 of 16,Click for Details
CIT448,Multi-Platform Architecture,97,8/18/2025 to 12/1/2025,3.00,M 3:00PM - 4:45PM,"Heimbach,Allen",,Hybrid,Fall Only,"11/14/2025
50% in-person, 50% distance",-1 of 15,Click for Details
ENL111,English Composition I,46,8/18/2025 to 12/3/2025,3.00,MW 6:30PM - 7:45PM,"Account,Test",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,15 of 23,Click for Details
MSC106,Introduction to Metallurgy,21,8/19/2025 to 12/4/2025,4.00,TR 12:30PM - 1:45PM...,"Albright,Paul",,On Campus,NA,11/14/2025,0 of 20,Click for Details
MTH183,College Algebra & Trigonometry II,41,8/19/2025 to 12/4/2025,3.00,TR 5:00PM - 6:45PM,"Vander Vere,Curt",,On Campus,NA,W/D 11/14/2025,4 of 25,Click for Details
PHS115,College Physics I,42,8/18/2025 to 12/3/2025,4.00,MW 5:00PM - 6:15PM...,"Richards,David",,On Campus,NA,W/D 11/14/2025,0 of 24,Click for Details
BIO201,Microbiology,41,8/19/2025 to 12/4/2025,4.00,TR 5:00PM - 6:15PM...,"Avery,Karen",,On Campus,NA,W/D 11/14/2025,0 of 20,Click for Details
AMT119,Fundamentals of Automatic Transmissions,05,9/15/2025 to 10/10/2025,3.00,F 8:00AM - 8:50AM...,"Trapani,Christopher",,On Campus,NA,10/06/2025,7 of 16,Click for Details
PTA215,Level 1 Clinical Experience,01,10/14/2025 to 12/11/2025,2.00,TR 8:00AM - 4:45PM,"Tilburg,Christine",,Off Campus,Fall Only,"12/2/2025
Transportation needed
Times may vary by site",3 of 11,Click for Details
FIT120,Introduction to Fitness Principles,21,8/19/2025 to 12/2/2025,1.00,T 12:00PM - 12:50PM,"Arrigonie,John",,On Campus,NA,W/D 11/14/25,12 of 18,Click for Details
EET247,Networking II,01,8/18/2025 to 12/5/2025,4.00,MWF 9:00AM - 9:50AM,"Becker,David",,On Campus,NA,11/14/2025,4 of 19,Click for Details
CSC124,"Information, Technology & Society",48,8/18/2025 to 12/3/2025,3.00,MW 5:00PM - 6:15PM,"Ellis,Brad",,On Campus,NA,11/14/2025,0 of 24,Click for Details
MTH181,College Algebra & Trigonometry I,22,8/19/2025 to 12/4/2025,3.00,TR 12:00PM - 1:45PM,"Vander Vere,Curt",,On Campus,NA,W/D 11/14/2025,0 of 25,Click for Details
